INFO:root:✔ XGBoost model loaded
Waiting for xApp connection on port 4400
xApp connected: 10.244.0.190:47694
INFO:root:✔ XChain listening on socket 4400
 * Serving Flask app 'xchain_model'
 * Debug mode: off
[12:09:46] WARNING: /workspace/src/learner.cc:790: 
Parameters: { "approx_kernel", "predictor" } are not used.

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=6.220ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=6.222ms

INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.244.0.191:5001
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.225ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.228ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.208ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.209ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.268ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.269ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.429ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.431ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.456ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.459ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.605ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.607ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.163ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.165ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.377ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.380ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.298ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.300ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.357ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.360ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.234ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.236ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.217ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.219ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.269ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.271ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.421ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.423ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.254ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.256ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.317ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.318ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.571ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.572ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.410ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.412ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.537ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.539ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.005ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.007ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.400ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.402ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.300ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.302ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.431ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.433ms

